Date	Time	Temper	Illuminat	1	8
22/10/07	23:05:43	23.95	386.9	140	92
22/10/07	23:07:43	23.95	424.7	117	2
22/10/07	23:09:43	23.95	428	21	0
22/10/07	23:11:43	23.95	433	14	4
22/10/07	23:13:43	23.99	433	52	24
22/10/07	23:15:43	24.11	434.6	0	42
22/10/07	23:17:43	24.17	433	0	0
22/10/07	23:19:43	24.11	433	0	46
22/10/07	23:21:43	24.06	433	0	130
22/10/07	23:23:43	24.02	433	0	116
22/10/07	23:25:43	23.95	433	38	22
22/10/07	23:27:43	23.95	428	0	0
22/10/07	23:29:43	23.64	377.9	8	14
22/10/07	23:31:43	23.46	376.4	48	84
22/10/07	23:33:43	23.46	376.4	102	0
22/10/07	23:35:43	23.46	376.4	171	42
22/10/07	23:37:43	23.46	377.9	181	6
22/10/07	23:39:43	23.46	411.8	2	0
22/10/07	23:41:43	23.46	433	18	0
22/10/07	23:43:43	23.46	433	52	0
22/10/07	23:45:43	23.57	433	6	0
22/10/07	23:47:43	23.79	438	2	16
22/10/07	23:49:43	23.92	481.7	2	6
22/10/07	23:51:43	23.95	496.4	6	0
22/10/07	23:53:43	23.95	467.3	66	0
22/10/07	23:55:43	23.95	433	0	0
22/10/07	23:57:43	23.95	433	0	8
22/10/07	23:59:43	23.95	433	0	0
23/10/07	0:01:43	23.98	400.7	0	16
23/10/07	0:03:43	23.96	747.3	0	0
23/10/07	0:05:43	23.95	863.2	0	0
23/10/07	0:07:43	23.95	874.9	0	0
23/10/07	0:09:43	23.95	831.6	0	0
23/10/07	0:11:43	23.5	831.6	0	0
23/10/07	0:13:43	23.46	831.6	0	4
23/10/07	0:15:43	23.46	771	0	86
23/10/07	0:17:43	23.46	734.4	0	148
23/10/07	0:19:43	23.43	734.4	15	132
23/10/07	0:21:43	23.46	724.1	53	98
23/10/07	0:23:43	23.46	646.5	0	146
23/10/07	0:25:43	23.46	646.5	0	97
23/10/07	0:27:43	23.49	646.5	0	131
23/10/07	0:29:43	23.58	599.3	0	78
23/10/07	0:31:43	23.8	567.4	0	94
23/10/07	0:33:43	23.95	567.4	0	78
23/10/07	0:35:43	23.95	601.5	0	77
23/10/07	0:37:43	23.95	628.2	8	85
23/10/07	0:39:43	23.95	639.6	0	122
23/10/07	0:41:43	23.95	610.3	0	110
23/10/07	0:43:43	23.95	646.5	0	34
23/10/07	0:45:43	24.03	646.5	18	6
23/10/07	0:47:43	24.03	646.5	4	0
23/10/07	0:49:43	24.02	670	12	58
23/10/07	0:51:43	23.95	651.2	4	18
23/10/07	0:53:43	23.95	734.4	0	18
23/10/07	0:55:43	23.95	736.9	8	124
23/10/07	0:57:43	23.73	734.4	18	125
23/10/07	0:59:43	23.46	734.4	24	159
23/10/07	1:01:43	23.46	734.4	14	141
23/10/07	1:03:43	23.43	734.4	2	117
23/10/07	1:05:43	23.28	734.4	14	14
23/10/07	1:07:43	23.43	734.4	48	6
23/10/07	1:09:43	23.46	662.9	44	0
23/10/07	1:11:43	23.46	646.5	83	2
23/10/07	1:13:43	23.46	646.5	159	40
23/10/07	1:15:43	23.46	646.5	162	137
23/10/07	1:17:43	23.56	567.4	34	207
23/10/07	1:19:43	23.73	567.4	109	214
23/10/07	1:21:43	23.95	559.1	127	171
23/10/07	1:23:43	23.95	511.5	140	93
23/10/07	1:25:43	23.95	496.4	148	109
23/10/07	1:27:43	23.95	496.4	70	169
23/10/07	1:29:43	23.95	476.3	26	59
23/10/07	1:31:43	23.95	434.6	14	138
23/10/07	1:33:43	23.95	448.1	26	151
23/10/07	1:35:43	23.95	479.9	16	68
23/10/07	1:37:43	23.95	479.9	8	174
23/10/07	1:39:43	23.95	496.4	18	142
23/10/07	1:41:43	23.88	496.4	38	13
23/10/07	1:43:43	23.46	513.4	184	197
23/10/07	1:45:43	23.46	563.2	62	107
23/10/07	1:47:43	23.43	563.2	16	150
23/10/07	1:49:43	23.35	567.4	10	69
23/10/07	1:51:43	23.38	567.4	4	93
23/10/07	1:53:43	23.46	569.5	15	17
23/10/07	1:55:43	23.46	567.4	33	0
23/10/07	1:57:43	23.46	747.3	14	0
23/10/07	1:59:43	23.46	863.2	45	6
23/10/07	2:01:43	23.46	874.9	37	0
23/10/07	2:03:43	23.68	831.6	22	14
23/10/07	2:05:43	23.84	831.6	25	4
23/10/07	2:07:43	23.95	831.6	33	22
23/10/07	2:09:43	23.95	771	18	0
23/10/07	2:11:43	23.95	734.4	107	0
23/10/07	2:13:43	23.95	734.4	177	8
23/10/07	2:15:43	23.95	724.1	198	10
23/10/07	2:17:43	23.95	646.5	213	0
23/10/07	2:19:43	23.95	646.5	123	2
23/10/07	2:21:43	23.95	646.5	144	0
23/10/07	2:23:43	23.95	599.3	183	0
23/10/07	2:25:43	23.95	567.4	189	0
23/10/07	2:27:43	23.92	567.4	253	0
23/10/07	2:29:43	23.51	601.5	97	0
23/10/07	2:31:43	23.46	628.2	74	0
23/10/07	2:33:43	23.46	639.6	144	0
23/10/07	2:35:43	23.23	610.3	114	20
23/10/07	2:37:43	22.99	646.5	139	0
23/10/07	2:39:43	22.97	646.5	65	2
23/10/07	2:41:43	23.19	646.5	66	8
23/10/07	2:43:43	23.41	670	18	0
23/10/07	2:45:43	23.46	651.2	10	0
23/10/07	2:47:43	23.46	734.4	28	0
23/10/07	2:49:43	23.46	736.9	78	0
23/10/07	2:51:43	23.49	734.4	12	0
23/10/07	2:53:43	23.6	734.4	26	0
23/10/07	2:55:43	23.81	734.4	12	0
23/10/07	2:57:43	23.88	734.4	18	0
23/10/07	2:59:43	23.95	734.4	14	0
23/10/07	3:01:43	23.95	734.4	14	0
23/10/07	3:03:43	23.95	662.9	0	0
23/10/07	3:05:43	23.95	646.5	30	0
23/10/07	3:07:43	23.95	646.5	49	33
23/10/07	3:09:43	23.95	646.5	117	77
23/10/07	3:11:43	23.95	567.4	142	81
23/10/07	3:13:43	23.95	567.4	74	127
23/10/07	3:15:43	23.95	559.1	148	24
23/10/07	3:17:43	23.92	511.5	95	4
23/10/07	3:19:43	23.54	496.4	37	0
23/10/07	3:21:43	23.46	496.4	122	0
23/10/07	3:23:43	23.46	476.3	165	0
23/10/07	3:25:43	23.3	434.6	135	12
23/10/07	3:27:43	23.15	448.1	142	10
23/10/07	3:29:43	23.37	479.9	160	53
23/10/07	3:31:43	23.46	479.9	26	129
23/10/07	3:33:43	23.46	496.4	22	101
23/10/07	3:35:43	23.46	496.4	34	144
23/10/07	3:37:43	23.46	513.4	4	85
23/10/07	3:39:43	23.47	563.2	70	158
23/10/07	3:41:43	23.49	563.2	110	161
23/10/07	3:43:43	23.75	567.4	124	15
23/10/07	3:45:43	23.94	567.4	118	22
23/10/07	3:47:43	23.95	569.5	180	0
23/10/07	3:49:43	23.95	567.4	104	0
23/10/07	3:51:43	23.95	580	78	24
23/10/07	3:53:43	23.95	603.7	24	2
23/10/07	3:55:43	23.95	567.4	18	0
23/10/07	3:57:43	23.95	567.4	34	24
23/10/07	3:59:43	23.95	567.4	67	6
23/10/07	4:01:43	23.95	496.4	127	6
23/10/07	4:03:43	23.95	496.4	24	98
23/10/07	4:05:43	23.94	472.7	20	153
23/10/07	4:07:43	23.53	433	12	155
23/10/07	4:09:43	23.46	439.7	20	80
23/10/07	4:11:43	23.46	494.6	14	0
23/10/07	4:13:43	23.01	481.7	10	0
23/10/07	4:15:43	22.97	496.4	27	10
23/10/07	4:17:43	23	496.4	111	22
23/10/07	4:19:43	23.08	496.4	178	35
23/10/07	4:21:43	23.23	496.4	98	115
23/10/07	4:23:43	23.46	567.4	188	178
23/10/07	4:25:43	23.46	567.4	163	193
23/10/07	4:27:43	23.46	567.4	101	87
23/10/07	4:29:43	23.46	567.4	70	10
23/10/07	4:31:43	23.49	557.1	42	33
23/10/07	4:33:43	23.57	502	65	91
23/10/07	4:35:43	23.7	513.4	95	98
23/10/07	4:37:43	23.89	485.3	86	92
23/10/07	4:39:43	23.95	433	120	55
23/10/07	4:41:43	23.95	496.4	232	91
23/10/07	4:43:43	23.95	433	155	78
23/10/07	4:45:43	23.95	433	117	46
23/10/07	4:47:43	23.95	433	126	0
23/10/07	4:49:43	23.95	433	28	0
23/10/07	4:51:43	23.95	433	28	0
23/10/07	4:53:43	23.95	469.1	46	0
23/10/07	4:55:43	23.95	449.9	0	0
23/10/07	4:57:43	23.95	496.4	0	0
23/10/07	4:59:43	23.51	496.4	0	0
23/10/07	5:01:43	23.46	496.4	12	0
23/10/07	5:03:43	23.46	496.4	108	0
23/10/07	5:05:43	23.32	503.9	74	0
23/10/07	5:07:43	23.01	567.4	0	0
23/10/07	5:09:43	23.12	532.9	66	0
23/10/07	5:11:43	23.45	503.9	147	0
23/10/07	5:13:43	23.46	496.4	33	0
23/10/07	5:15:43	23.46	496.4	160	0
23/10/07	5:17:43	23.46	496.4	32	0
23/10/07	5:19:43	23.46	458.5	2	0
23/10/07	5:21:43	23.46	433	8	0
23/10/07	5:23:43	23.49	413.4	14	0
23/10/07	5:25:43	23.56	429.6	4	0
23/10/07	5:27:43	23.69	433	22	0
23/10/07	5:29:43	23.87	433	2	0
23/10/07	5:31:43	23.95	433	2	0
23/10/07	5:33:43	23.95	436.3	24	0
23/10/07	5:35:43	23.95	438	14	0
23/10/07	5:37:43	23.95	496.4	2	0
23/10/07	5:39:43	23.95	496.4	0	0
23/10/07	5:41:43	23.95	505.8	2	0
23/10/07	5:43:43	23.95	496.4	40	0
23/10/07	5:45:43	23.77	494.6	16	0
23/10/07	5:47:43	23.46	433	0	0
23/10/07	5:49:43	23.46	433	0	0
23/10/07	5:51:43	23.42	433	0	0
23/10/07	5:53:43	23	396.1	6	0
23/10/07	5:55:43	22.97	376.4	0	0
23/10/07	5:57:43	23.05	377.9	26	0
23/10/07	5:59:43	23.32	376.4	10	0
23/10/07	6:01:43	23.46	386.9	0	0
23/10/07	6:03:43	23.46	424.7	0	0
23/10/07	6:05:43	23.46	428	8	0
23/10/07	6:07:43	23.46	433	0	102
23/10/07	6:09:43	23.46	433	0	170
23/10/07	6:11:43	23.46	434.6	2	56
23/10/07	6:13:43	23.49	433	0	106
23/10/07	6:15:43	23.58	433	0	160
23/10/07	6:17:43	23.79	433	2	140
23/10/07	6:19:43	23.87	433	2	46
23/10/07	6:21:43	23.95	433	2	114
23/10/07	6:23:43	23.95	428	0	16
23/10/07	6:25:43	23.95	377.9	10	122
23/10/07	6:27:43	23.95	376.4	0	108
23/10/07	6:29:43	23.95	376.4	0	112
23/10/07	6:31:43	23.95	376.4	0	55
23/10/07	6:33:43	23.95	377.9	4	73
23/10/07	6:35:43	23.95	411.8	24	108
23/10/07	6:37:43	23.85	433	0	12
23/10/07	6:39:43	23.51	433	0	0
23/10/07	6:41:43	23.46	433	21	0
23/10/07	6:43:43	23.46	438	41	2
23/10/07	6:45:43	23.35	481.7	0	0
23/10/07	6:47:43	23.2	496.4	2	0
23/10/07	6:49:43	23.46	467.3	2	0
23/10/07	6:51:43	23.46	433	2	22
23/10/07	6:53:43	23.46	433	0	2
23/10/07	6:55:43	23.46	433	6	169
23/10/07	6:57:43	23.54	400.7	0	171
23/10/07	6:59:43	23.87	0	0	148
23/10/07	7:01:43	23.95	0	2	30
23/10/07	7:03:43	23.95	0	4	50
23/10/07	7:05:43	23.95	0	0	12
23/10/07	7:07:43	23.94	0	0	0
23/10/07	7:09:43	23.92	0	0	0
23/10/07	7:11:43	23.66	0	2	25
23/10/07	7:13:43	23.81	0	0	57
23/10/07	7:15:43	23.84	0	12	0
23/10/07	7:17:43	23.85	0	0	0
23/10/07	7:19:43	23.81	0	14	4
23/10/07	7:21:43	23.79	0	2	0
23/10/07	7:23:43	23.46	0	0	0
23/10/07	7:25:43	23.46	0	2	6
23/10/07	7:27:43	23.46	0	0	32
23/10/07	7:29:43	23.46	0	0	21
23/10/07	7:31:43	23.42	0	14	147
23/10/07	7:33:43	23.03	0	0	128
23/10/07	7:35:43	22.97	0	0	56
23/10/07	7:37:43	22.97	0	4	2
23/10/07	7:39:43	22.97	0	6	0
23/10/07	7:41:43	22.97	0	0	24
23/10/07	7:43:43	23.05	0	0	0
23/10/07	7:45:43	23.45	0	6	0
23/10/07	7:47:43	23.46	0	0	0
23/10/07	7:49:43	23.46	0	0	0
23/10/07	7:51:43	23.49	0	0	0
23/10/07	7:53:43	23.69	0	10	0
23/10/07	7:55:43	23.87	0	0	0
23/10/07	7:57:43	23.95	0	0	0
23/10/07	7:59:43	23.95	0	0	0
23/10/07	8:01:43	23.95	0	26	0
23/10/07	8:03:43	23.95	0	12	0
23/10/07	8:05:43	23.95	0	28	0
23/10/07	8:07:43	23.95	0	12	0
23/10/07	8:09:43	23.95	0	28	0
23/10/07	8:11:43	23.95	0	56	0
23/10/07	8:13:43	23.69	0	34	0
23/10/07	8:15:43	23.46	0	0	0
23/10/07	8:17:43	23.46	0	0	0
23/10/07	8:19:43	23.46	0	0	0
23/10/07	8:21:43	23.18	0	4	0
23/10/07	8:23:43	23	0	0	0
23/10/07	8:25:43	22.97	0	22	0
23/10/07	8:27:43	22.99	0	6	0
23/10/07	8:29:43	23.41	0	4	0
23/10/07	8:31:43	23.46	0	0	0
23/10/07	8:33:43	23.46	0	0	0
23/10/07	8:35:43	23.61	0	4	0
23/10/07	8:37:43	23.94	0	0	0
23/10/07	8:39:43	23.95	0	0	0
23/10/07	8:41:43	23.95	0	6	0
23/10/07	8:43:43	24.04	0	4	0
23/10/07	8:45:43	24.18	0	0	0
23/10/07	8:47:43	24.28	0	14	0
23/10/07	8:49:43	24	0	0	0
23/10/07	8:51:43	23.95	0	0	0
23/10/07	8:53:43	23.95	0	0	0
23/10/07	8:55:43	23.87	0	66	0
23/10/07	8:57:43	23.46	0	26	0
23/10/07	8:59:43	23.46	0	36	0
23/10/07	9:01:43	23.42	0	0	0
23/10/07	9:03:43	23	0	20	0
23/10/07	9:05:43	22.97	0	82	0
23/10/07	9:07:43	23.11	0	36	0
23/10/07	9:09:43	23.46	0	12	0
23/10/07	9:11:43	23.46	0	12	0
23/10/07	9:13:43	23.46	0	10	0
23/10/07	9:15:43	23.69	0	6	0
23/10/07	9:17:43	23.95	0	4	0
23/10/07	9:19:43	23.95	0	4	0
23/10/07	9:21:43	23.95	0	17	0
23/10/07	9:23:43	24.07	0	118	0
23/10/07	9:25:43	24.1	0	121	0
23/10/07	9:27:43	24.38	0	199	0
23/10/07	9:29:43	24.44	0	15	0
23/10/07	9:31:43	24.44	0	42	0
23/10/07	9:33:43	24.44	0	117	0
23/10/07	9:35:43	24.15	0	149	0
23/10/07	9:37:43	23.95	0	18	0
23/10/07	9:39:43	23.95	0	28	0
23/10/07	9:41:43	23.91	0	74	0
23/10/07	9:43:43	23.49	0	36	0
23/10/07	9:45:43	23.46	0	0	0
23/10/07	9:47:43	23.46	0	70	0
23/10/07	9:49:43	23.03	0	30	0
23/10/07	9:51:43	22.97	0	18	0
23/10/07	9:53:43	22.97	0	70	0
23/10/07	9:55:43	22.97	0	76	0
23/10/07	9:57:43	22.99	0	6	0
23/10/07	9:59:43	23.34	0	0	0
23/10/07	10:01:43	23.46	0	0	0
23/10/07	10:03:43	23.46	0	4	0
23/10/07	10:05:43	23.51	0	8	0
23/10/07	10:07:43	23.84	0	0	0
23/10/07	10:09:43	23.95	0	0	0
23/10/07	10:11:43	23.95	0	0	0
23/10/07	10:13:43	23.95	0	0	0
23/10/07	10:15:43	23.95	0	0	0
23/10/07	10:17:43	23.95	0	0	0
23/10/07	10:19:43	23.95	0	0	0
23/10/07	10:21:43	23.95	0	0	0
					
					
					
23/10/07	12:02:47	22.48	0	0	4
23/10/07	12:04:47	22.48	0	0	0
23/10/07	12:06:47	22.48	0	4	0
23/10/07	12:08:47	22.48	0	0	0
23/10/07	12:10:47	22.48	0	0	0
23/10/07	12:12:47	22.48	0	0	0
23/10/07	12:14:47	22.66	0	0	0
23/10/07	12:16:47	22.8	0	0	0
23/10/07	12:18:47	22.93	0	0	0
23/10/07	12:20:47	22.97	0	0	0
23/10/07	12:22:47	22.97	0	0	0
23/10/07	12:24:47	22.97	0	0	0
23/10/07	12:26:47	22.97	0	0	0
23/10/07	12:28:47	22.97	0	0	0
23/10/07	12:30:47	22.97	0	0	0
23/10/07	12:32:47	22.97	0	0	0
23/10/07	12:34:47	22.97	0	2	0
23/10/07	12:36:47	23.03	0	0	0
23/10/07	12:38:47	23.09	0	0	0
23/10/07	12:40:47	23.09	0	0	0
23/10/07	12:42:47	23.24	0	0	0
23/10/07	12:44:47	23.34	0	0	0
23/10/07	12:46:47	23.38	0	0	0
23/10/07	12:48:47	23.45	0	6	0
23/10/07	12:50:47	23.46	0	0	0
23/10/07	12:52:47	23.46	0	0	0
23/10/07	12:54:47	23.46	0	0	0
23/10/07	12:56:47	23.46	0	0	0
23/10/07	12:58:47	23.46	0	0	0
23/10/07	13:00:47	23.46	0	0	0
23/10/07	13:02:47	23.46	0	0	0
23/10/07	13:04:47	23.46	0	0	0
23/10/07	13:06:47	23.46	0	6	0
23/10/07	13:08:47	23.49	0	0	0
23/10/07	13:10:47	23.58	0	0	0
23/10/07	13:12:47	23.7	0	0	12
23/10/07	13:14:47	23.91	0	0	34
23/10/07	13:16:47	23.95	0	0	0
23/10/07	13:18:47	23.95	0	0	0
23/10/07	13:20:47	23.95	0	0	0
23/10/07	13:22:47	23.95	0	0	0
23/10/07	13:24:47	23.95	0	0	0
23/10/07	13:26:47	24.03	0	0	0
23/10/07	13:28:47	24.15	0	0	0
23/10/07	13:30:47	24.4	0	2	0
23/10/07	13:32:47	24.44	0	0	0
23/10/07	13:34:47	24.44	0	0	0
23/10/07	13:36:47	24.44	0	0	0
23/10/07	13:38:47	24.36	0	0	0
23/10/07	13:40:47	24.28	0	1	0
23/10/07	13:42:47	23.95	0	3	0
23/10/07	13:44:47	23.95	0	0	0
23/10/07	13:46:47	23.95	0	0	0
23/10/07	13:48:47	23.95	0	0	0
23/10/07	13:50:47	23.64	0	0	0
23/10/07	13:52:47	23.47	0	0	0
23/10/07	13:54:47	23.46	0	0	0
23/10/07	13:56:47	23.46	0	0	0
23/10/07	13:58:47	23.46	0	0	0
23/10/07	14:00:47	23.43	0	0	0
23/10/07	14:02:47	23.12	0	0	0
23/10/07	14:04:47	22.97	0	2	0
23/10/07	14:06:47	22.97	0	0	0
23/10/07	14:08:47	22.97	0	0	0
23/10/07	14:10:47	22.97	0	0	0
23/10/07	14:12:47	22.97	0	0	0
23/10/07	14:14:47	22.97	0	0	0
23/10/07	14:16:47	22.97	0	0	0
23/10/07	14:18:47	22.97	0	0	0
23/10/07	14:20:47	22.96	0	0	0
23/10/07	14:22:47	22.82	0	0	0
23/10/07	14:24:47	22.84	0	0	0
23/10/07	14:26:47	22.71	0	0	0
23/10/07	14:28:47	22.61	0	0	0
23/10/07	14:30:47	22.48	0	0	0
23/10/07	14:32:47	22.5	0	0	0
23/10/07	14:34:47	22.48	0	0	0
23/10/07	14:36:47	22.48	0	4	12
23/10/07	14:38:47	22.48	0	6	0
23/10/07	14:40:47	22.48	0	0	0
23/10/07	14:42:47	22.48	0	14	10
23/10/07	14:44:47	22.48	0	54	34
23/10/07	14:46:47	22.48	0	0	8
23/10/07	14:48:47	22.48	0	4	4
23/10/07	14:50:47	22.48	0	22	0
23/10/07	14:52:47	22.48	0	124	10
23/10/07	14:54:47	22.48	0	119	0
23/10/07	14:56:47	22.48	0	134	0
23/10/07	14:58:47	22.48	0	57	0
23/10/07	15:00:47	22.48	0	2	0
23/10/07	15:02:47	22.48	0	0	0
23/10/07	15:04:47	22.48	0	0	0
23/10/07	15:06:47	22.48	0	0	0
23/10/07	15:08:47	22.48	0	0	0
23/10/07	15:10:47	22.48	0	0	0
23/10/07	15:12:47	22.48	0	0	0
23/10/07	15:14:47	22.47	0	0	0
23/10/07	15:16:47	22.48	0	0	0
23/10/07	15:18:47	22.48	0	0	0
23/10/07	15:20:47	22.73	0	0	0
23/10/07	15:22:47	22.97	0	0	0
23/10/07	15:24:47	23	0	0	0
23/10/07	15:26:47	23.46	0	0	0
23/10/07	15:28:47	23.46	0	0	0
23/10/07	15:30:47	23.8	0	2	0
23/10/07	15:32:47	23.95	0	0	0
23/10/07	15:34:47	24	0	0	0
23/10/07	15:36:47	24.38	0	0	0
23/10/07	15:38:47	24.44	0	0	0
23/10/07	15:40:47	24.44	0	0	0
23/10/07	15:42:47	24.53	0	0	0
					
					
					
					
23/10/07	15:55:00	24.67	0	0	0
23/10/07	15:57:00	24.44	0	0	0
23/10/07	15:59:00	24.44	0	0	0
23/10/07	16:01:00	24.42	0	0	0
23/10/07	16:03:00	24.11	0	0	0
23/10/07	16:05:00	23.95	0	0	0
23/10/07	16:07:00	23.95	0	0	0
23/10/07	16:09:00	23.94	0	0	0
23/10/07	16:11:00	23.76	0	0	0
23/10/07	16:13:00	23.46	0	0	0
23/10/07	16:15:00	23.46	0	0	0
23/10/07	16:17:00	23.46	0	0	0
23/10/07	16:19:00	23.46	0	0	0
23/10/07	16:21:00	23.45	0	0	0
23/10/07	16:23:00	23.35	0	0	0
23/10/07	16:25:00	23.05	0	0	0
23/10/07	16:27:00	22.97	0	0	0
23/10/07	16:29:00	22.97	0	0	0
23/10/07	16:31:00	22.97	0	0	0
23/10/07	16:33:00	22.97	0	0	0
23/10/07	16:35:00	22.97	0	0	0
23/10/07	16:37:00	22.97	0	0	0
23/10/07	16:39:00	22.97	0	0	0
23/10/07	16:41:00	22.97	0	0	0
					
					
					
					
23/10/07	16:53:35	22.94	0	0	0
23/10/07	16:55:35	22.86	0	0	0
23/10/07	16:57:35	22.8	0	2	0
23/10/07	16:59:35	22.63	0	0	0
23/10/07	17:01:35	22.73	0	0	0
23/10/07	17:03:35	22.55	0	4	0
23/10/07	17:05:35	22.52	0	2	0
23/10/07	17:07:35	22.51	0	0	0
23/10/07	17:09:35	22.48	0	0	0
23/10/07	17:11:35	22.48	0	0	0
23/10/07	17:13:35	22.48	0	0	0
23/10/07	17:15:35	22.48	0	0	0
23/10/07	17:17:35	22.48	0	0	0
23/10/07	17:19:35	22.48	0	0	0
23/10/07	17:21:35	22.48	0	0	0
23/10/07	17:23:35	22.48	0	0	0
